"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","Score","Ros","+/-","IP","ERA","WHIP","K","L","QS","K/BB","SVH","H/AB","R","RBI","HR","SB","SO","AVG","OPS","GP"
"*04mlt*","Shane McClanahan","TB","SP","254","PAW","Reserve","29","@LAA Sun 4:07PM","67.27","98%","0%","64","3.23","1.172","66","4","1","3.00","0","0/0","0","0","0","0","0","0",".000","13"
"*05138*","Matt Brash","SEA","RP","255","DOB","Inj Res","28","@WSH Sun 1:35PM","67.15","42%","-1%","16.2","0.54","0.840","15","0","0","2.50","6","0/0","0","0","0","0","0","0",".000","20"
"*05xod*","Sean Burke","CHW","SP","256","MN","Active","26","LAD Sun 2:10PM","67.03","66%","-1%","73.2","4.15","1.262","73","4","3","2.61","0","0/0","0","0","0","0","0","0",".000","14"
"*05y72*","Landen Roupp","SF","SP","265","SSP","Active","27","CHC Sun 3:10PM","66.47","88%","-2%","74.1","4.24","1.291","82","7","5","2.56","0","0/0","0","0","0","0","0","0",".000","14"
"*06luc*","Jack Dreyer","LAD","SP,RP","267","KCP","Active","27","@CHW Sun 2:10PM","66.31","21%","-1%","27.2","2.93","0.940","30","1","0","5.00","3","0/0","0","0","0","0","0","0",".000","26"
"*06mi0*","Bryan King","HOU","RP","268","AKR","Active","29","@KC Sun 2:10PM","66.23","37%","-4%","30.1","2.37","1.286","24","1","0","2.00","12","0/0","0","0","0","0","0","0",".000","28"
"*03poo*","Peter Lambert","HOU","SP","269","DOB","Reserve","29","@KC Sun 2:10PM","65.89","54%","0%","57","3.47","1.211","53","4","4","2.12","0","0/0","0","0","0","0","0","0",".000","10"
"*04pmb*","Kris Bubic","KC","SP","273","45s","Inj Res","28","HOU Sun 2:10PM","65.76","91%","-1%","50.1","4.11","1.232","51","2","4","1.96","0","0/0","0","0","0","0","0","0",".000","9"
"*0312l*","Brad Keller","PHI","RP","275","AKR","Active","30","@MIL Sun 2:10PM","65.65","37%","+2%","30.1","4.15","1.352","31","1","0","2.58","16","0/0","0","0","0","0","0","0",".000","31"
"*04cd5*","MacKenzie Gore","TEX","SP","276","BOS","Active","27","@BOS Sun 7:20PM","65.48","96%","-1%","71","4.18","1.352","76","5","4","2.30","0","0/0","0","0","0","0","0","0",".000","14"
"*04auk*","Seranthony Dominguez","CHW","RP","283","45s","Active","31","LAD Sun 2:10PM","65.05","76%","-1%","25","3.60","1.120","29","3","0","2.23","13","0/0","0","0","0","0","0","0",".000","27"
"*04auj*","Framber Valdez","DET","SP","284","GOATS","Reserve","32","@CLE Sun 1:40PM","65.01","98%","0%","77.2","4.40","1.339","61","5","7","2.10","0","0/0","0","0","0","0","0","0",".000","14"
"*04aqc*","David Bednar","NYY","RP","287","DOB","Active","31","@TOR Sun 1:37PM","64.87","96%","0%","28.2","3.77","1.360","36","3","0","3.00","14","0/0","0","0","0","0","0","0",".000","28"
