day,mlbam_id,name,role,level,score_030,score_031,delta,rank_030,rank_031,class,continuity_floor_applied,arm_b_buckets
2026-07-25,815084,Ben Simon,pitcher,AAA,5.13,0,-5.13,1704,2535,unintended,False,thin_current_sample_confidence
2026-07-25,682981,Derek Diamond,pitcher,AAA,2.61,0,-2.61,2043,2597,unintended,False,thin_current_sample_confidence
2026-07-25,828506,Joey Danielson,pitcher,AA,0.49,0,-0.49,2224,2707,unintended,False,thin_current_sample_confidence
2026-07-25,681328,Jonny Cuevas,pitcher,AAA,2.56,0,-2.56,2050,2711,unintended,False,thin_current_sample_confidence
2026-07-25,687881,Kenten Egbert,pitcher,AAA,0.71,0,-0.71,2204,2741,unintended,False,thin_current_sample_confidence
2026-07-25,692589,Victor Juarez,pitcher,AAA,6.38,0,-6.38,1597,2861,unintended,False,thin_current_sample_confidence
2026-07-26,816113,Eli Willits,hitter,A+,67.95,68.3,0.35,2,2,unintended,False,
2026-07-26,703155,Lazaro Montes,hitter,AAA,40.91,42.03,1.12,40,37,unintended,False,
2026-07-26,815394,Theo Gillen,hitter,AA,39.35,40.05,0.7,46,42,unintended,False,
2026-07-26,703596,Karson Milbrandt,pitcher,AAA,31.35,34.65,3.3,103,60,unintended,False,moderate_thin_sample_confidence
2026-07-26,815785,Braylon Doughty,pitcher,AA,33.87,34.56,0.69,66,61,unintended,False,
2026-07-26,803849,Devin Fitz-Gerald,hitter,AA,30.71,34.27,3.56,109,63,unintended,False,
2026-07-26,815352,Caleb Bonemer,hitter,AA,33.25,33.88,0.63,78,68,unintended,False,
2026-07-26,694211,Manuel Pena,hitter,AAA,28.42,33.74,5.32,161,72,unintended,False,
2026-07-26,800611,Noble Meyer,pitcher,A,26.2,33.22,7.02,224,83,intended,True,thin_current_sample_confidence
2026-07-26,815792,Chase Harlan,hitter,A+,31.62,32.42,0.8,99,94,unintended,False,
